phi,label,score
39,Black-and-white,0.6834213137626648
40,Hare,0.9727456569671631
40,Rabbit,0.9721996784210205
40,Domestic rabbit,0.9609794020652771
40,Rabbits and Hares,0.9513756632804871
40,Drawing,0.9149844646453857
40,Sketch,0.8901426196098328
40,Snout,0.7840312123298645
40,Black-and-white,0.7811979055404663
40,Line art,0.7247785329818726
40,wood rabbit,0.7234273552894592
41,Rabbit,0.979894757270813
41,Hare,0.9753783345222473
41,Rabbits and Hares,0.9629822373390198
41,Domestic rabbit,0.9561460614204407
41,Drawing,0.9226685166358948
41,Sketch,0.8813943862915039
41,Snout,0.7840312123298645
41,Black-and-white,0.7811979055404663
41,Illustration,0.7095673680305481
41,wood rabbit,0.7065120935440063
42,Mountain Cottontail,0.9769052863121033
42,Hare,0.9526839852333069
42,Rabbit,0.9415420889854431
42,Domestic rabbit,0.9076685309410095
42,Rabbits and Hares,0.8997841477394104
42,Drawing,0.8760127425193787
42,Sketch,0.8192569613456726
42,Snout,0.7342774271965027
42,Black tailed jackrabbit,0.7118145823478699
42,Illustration,0.6912711262702942
43,Hare,0.9718557596206665
43,Rabbit,0.9696629047393799
43,Rabbits and Hares,0.9465644955635071
43,Domestic rabbit,0.9453669190406799
43,Drawing,0.915637731552124
43,Sketch,0.8652383089065552
43,Snout,0.7840312123298645
43,Black-and-white,0.7436744570732117
43,Illustration,0.6912711262702942
43,Line art,0.6625825762748718
44,Hare,0.9700572490692139
44,Rabbit,0.9658669829368591
44,Rabbits and Hares,0.943391740322113
44,Domestic rabbit,0.9261202812194824
44,Drawing,0.913669764995575
44,Sketch,0.8922843337059021
44,Line art,0.8431297540664673
44,Snout,0.8251876831054688
44,Illustration,0.7248833179473877
44,wood rabbit,0.6107503771781921
45,Rabbit,0.9825149178504944
45,Hare,0.9779559969902039
45,Mountain Cottontail,0.9769052863121033
45,Rabbits and Hares,0.9700296521186829
45,Domestic rabbit,0.9679903388023376
45,Drawing,0.8906058669090271
45,Sketch,0.8515863418579102
45,Snout,0.8251876831054688
45,wood rabbit,0.7494211792945862
45,Line art,0.7044222354888916
46,Rabbit,0.9811996817588806
46,Hare,0.9796440601348877
46,Domestic rabbit,0.9794949293136597
46,Mountain Cottontail,0.9769052863121033
46,Rabbits and Hares,0.968225359916687
46,Drawing,0.9076038002967834
46,Sketch,0.86643385887146
46,Snout,0.8367116451263428
46,Black-and-white,0.7436744570732117
46,Line art,0.7162227630615234
47,Rabbit,0.9838427305221558
47,Domestic rabbit,0.9801051616668701
47,Hare,0.9796440601348877
47,Mountain Cottontail,0.9769052863121033
47,Rabbits and Hares,0.9700296521186829
47,Drawing,0.9214090704917908
47,Sketch,0.8825049996376038
47,Snout,0.8367116451263428
47,Black-and-white,0.7436744570732117
47,Illustration,0.7175435423851013
48,Hare,0.9788030982017517
48,Rabbit,0.9785982966423035
48,Domestic rabbit,0.9775873422622681
48,Mountain Cottontail,0.9769052863121033
48,Rabbits and Hares,0.9629822373390198
48,Drawing,0.9034017324447632
48,Sketch,0.8566627502441406
48,Snout,0.8526162505149841
48,Illustration,0.7438470125198364
48,wood rabbit,0.7006319165229797
49,Hare,0.9645087718963623
49,Rabbit,0.9595379829406738
49,Domestic rabbit,0.9476463794708252
49,Rabbits and Hares,0.9246693849563599
49,Drawing,0.8856976628303528
49,Snout,0.8526162505149841
49,Sketch,0.826811671257019
49,Illustration,0.7248833179473877
49,Black-and-white,0.6834213137626648
49,Line art,0.6793519854545593
50,Hare,0.9293421506881714
50,Rabbit,0.9057666659355164
50,Domestic rabbit,0.8990700244903564
50,Rabbits and Hares,0.8676125407218933
50,Drawing,0.8609514236450195
50,Sketch,0.7906739115715027
50,Snout,0.7342774271965027
50,Illustration,0.7175435423851013
50,Line art,0.7133157253265381
50,Black-and-white,0.6834213137626648
51,Hare,0.8640903234481812
51,Drawing,0.8428384065628052
51,Sketch,0.7869599461555481
51,Snout,0.7840312123298645
51,Rabbit,0.7283906936645508
51,Line art,0.7247785329818726
51,Domestic rabbit,0.6795215010643005
51,Illustration,0.6225569844245911
51,Rabbits and Hares,0.6026948690414429
51,Black-and-white,0.5640789866447449
52,Drawing,0.8048377633094788
52,Line art,0.7103802561759949
52,Sketch,0.6827123761177063
52,Illustration,0.5765818953514099
52,Black-and-white,0.5640789866447449
53,Drawing,0.8006102442741394
53,Sketch,0.6995635032653809
53,Line art,0.666009247303009
53,Illustration,0.6017356514930725
53,Black-and-white,0.5640789866447449
54,Hare,0.9779559969902039
54,Domestic rabbit,0.9711754322052002
54,Rabbit,0.9683968424797058
54,Rabbits and Hares,0.9465644955635071
54,Snout,0.8923015594482422
54,Drawing,0.888995885848999
54,Nose,0.8419631719589233
54,Sketch,0.814556896686554
54,Line art,0.7832168340682983
54,Black-and-white,0.7811979055404663
55,Rabbit,0.979894757270813
55,Hare,0.9796440601348877
55,Domestic rabbit,0.9782359600067139
55,Rabbits and Hares,0.9647055864334106
55,Snout,0.890667200088501
55,Drawing,0.8906058669090271
55,Sketch,0.8489958047866821
55,Black-and-white,0.7811979055404663
55,wood rabbit,0.7614942193031311
55,Illustration,0.7438470125198364
56,Hare,0.9526839852333069
56,Rabbit,0.9072202444076538
56,Domestic rabbit,0.8800715804100037
56,Drawing,0.8553162813186646
56,Snout,0.8526162505149841
56,Rabbits and Hares,0.8420430421829224
56,Sketch,0.7670003771781921
56,Black-and-white,0.7436744570732117
56,Illustration,0.7095673680305481
56,Line art,0.633745551109314
57,Hare,0.9771028757095337
57,Domestic rabbit,0.9734278917312622
57,Rabbit,0.9696629047393799
57,Rabbits and Hares,0.9449751377105713
57,Drawing,0.8865323662757874
57,Snout,0.8714092969894409
57,Sketch,0.8282833695411682
57,Black-and-white,0.8265277147293091
57,wood rabbit,0.7444265484809875
57,Line art,0.7191019654273987
58,Hare,0.862333357334137
58,Snout,0.8251876831054688
58,Drawing,0.8146051168441772
58,Sketch,0.7392742037773132
58,Rabbit,0.716814398765564
58,Line art,0.7103802561759949
58,Black-and-white,0.6834213137626648
58,Domestic rabbit,0.6499131917953491
58,Illustration,0.6225569844245911
58,Rabbits and Hares,0.6207516193389893
59,Drawing,0.7915089130401611
59,Snout,0.7342774271965027
59,Sketch,0.693024754524231
59,Illustration,0.6225569844245911
59,Hare,0.5665541887283325
59,Black-and-white,0.5640789866447449
59,Line art,0.5175482034683228
60,Drawing,0.8313954472541809
60,Snout,0.8091163635253906
60,Rabbit,0.7935464382171631
60,Hare,0.7887765169143677
60,Sketch,0.7648624777793884
60,Illustration,0.7248833179473877
60,Black-and-white,0.6834213137626648
60,Line art,0.6625825762748718
60,Rabbits and Hares,0.6172245740890503
60,Domestic rabbit,0.5948631763458252
61,Drawing,0.7381006479263306
61,Sketch,0.6290342211723328
61,Black-and-white,0.5640789866447449
61,Illustration,0.5040763020515442
62,Snout,0.8251876831054688
62,Drawing,0.8006102442741394
62,Hare,0.7262887358665466
62,Sketch,0.6963261365890503
62,Black-and-white,0.6834213137626648
62,Illustration,0.6402102112770081
62,Line art,0.610283613204956
62,Rabbit,0.5839642882347107
62,Monochrome,0.5442906022071838
62,Domestic rabbit,0.5182974934577942
63,Drawing,0.8387206792831421
63,Snout,0.8251876831054688
63,Hare,0.7678558826446533
63,Sketch,0.746661901473999
63,Line art,0.7162227630615234
63,Rabbit,0.6984918713569641
63,Black-and-white,0.6834213137626648
63,Illustration,0.6688148975372314
63,Domestic rabbit,0.6007093191146851
63,Monochrome,0.5442906022071838
64,Drawing,0.7938714623451233
64,Snout,0.7840312123298645
64,Sketch,0.7206135392189026
64,Hare,0.7197594046592712
64,Black-and-white,0.6834213137626648
64,Illustration,0.6806615591049194
64,Rabbit,0.6390898823738098
64,Monochrome,0.5442906022071838
64,Line art,0.5280261039733887
64,Art,0.502187192440033
65,Drawing,0.8088743686676025
65,Sketch,0.7582741975784302
65,Illustration,0.6554555892944336
65,Line art,0.633745551109314
65,Black-and-white,0.5640789866447449
66,Black-and-white,0.7436744570732117
66,Snout,0.7342774271965027
66,Drawing,0.7338131070137024
66,Illustration,0.6912711262702942
66,Sketch,0.5914958119392395
67,Hare,0.8824079632759094
67,Drawing,0.7890833616256714
67,Snout,0.7840312123298645
67,Black-and-white,0.7436744570732117
67,Rabbit,0.6984918713569641
67,Sketch,0.6827123761177063
67,Illustration,0.6688148975372314
67,Line art,0.610283613204956
67,Monochrome,0.6010186672210693
67,Rabbits and Hares,0.5795217752456665
68,Drawing,0.7700396180152893
68,Font,0.6857237815856934
68,Black-and-white,0.6834213137626648
68,Illustration,0.6554555892944336
68,Sketch,0.6516923308372498
68,Line art,0.5761554837226868
68,Monochrome,0.5442906022071838
68,Ink,0.5056748390197754
68,Art,0.502187192440033
69,Drawing,0.7422115206718445
69,Sketch,0.6754698753356934
69,Line art,0.6261114478111267
69,Illustration,0.5765818953514099
69,Black-and-white,0.5640789866447449
70,Drawing,0.7915089130401611
70,Line art,0.7044222354888916
70,Sketch,0.7027392387390137
70,Illustration,0.7008524537086487
70,Black-and-white,0.6834213137626648
70,Ink,0.5210356116294861
71,Drawing,0.7293345928192139
71,Line art,0.6889951825141907
71,Sketch,0.6338061094284058
71,Illustration,0.5765818953514099
71,Black-and-white,0.5640789866447449
72,Drawing,0.7197385430335999
72,Font,0.6857237815856934
72,Sketch,0.6190864443778992
72,Illustration,0.5765818953514099
72,Black-and-white,0.5640789866447449
72,Line art,0.5331505537033081
73,Drawing,0.7338131070137024
73,Font,0.6857237815856934
73,Sketch,0.663992702960968
73,Illustration,0.6225569844245911
73,Line art,0.6062042713165283
73,Black-and-white,0.5640789866447449
73,Monochrome,0.5442906022071838
74,Drawing,0.7338131070137024
74,Font,0.6857237815856934
74,Black-and-white,0.6834213137626648
74,Sketch,0.663992702960968
74,Line art,0.6625825762748718
74,Illustration,0.6017356514930725
74,Graphics,0.5272958874702454
75,Drawing,0.7293345928192139
75,Sketch,0.6338061094284058
75,Line art,0.5670532584190369
75,Black-and-white,0.5640789866447449
75,Illustration,0.5451834201812744
76,Drawing,0.7381006479263306
76,Font,0.6857237815856934
76,Sketch,0.6429780721664429
76,Illustration,0.6402102112770081
76,Black-and-white,0.5640789866447449
77,Drawing,0.7669718265533447
77,Black-and-white,0.7436744570732117
77,Font,0.6857237815856934
77,Sketch,0.6679047346115112
77,Illustration,0.6554555892944336
77,Line art,0.6520728468894958
77,Monochrome,0.5442906022071838
77,Graphics,0.5036579966545105
77,Art,0.502187192440033
78,Drawing,0.7461584806442261
78,Line art,0.669398844242096
78,Sketch,0.6473897099494934
78,Illustration,0.6402102112770081
78,Black-and-white,0.5640789866447449
79,Black-and-white,0.8072261214256287
79,Drawing,0.7938714623451233
79,Illustration,0.7493422031402588
79,Line art,0.7438330054283142
79,Snout,0.7342774271965027
79,Sketch,0.7058554887771606
79,Monochrome,0.6431529521942139
79,Ink,0.5484297871589661
79,Style,0.5095184445381165
79,Art,0.502187192440033
80,Drawing,0.8027489185333252
80,Eye,0.7586227655410767
80,Line art,0.7541915774345398
80,Sketch,0.7119176983833313
80,Black-and-white,0.6834213137626648
80,Illustration,0.6225569844245911
81,Drawing,0.7730106115341187
81,Line art,0.766642153263092
81,Sketch,0.6679047346115112
81,Illustration,0.6554555892944336
81,Black-and-white,0.5640789866447449
82,Drawing,0.7786838412284851
82,Line art,0.761725902557373
82,Sketch,0.6791298389434814
82,Hand,0.6600293517112732
82,Illustration,0.5765818953514099
82,Black-and-white,0.5640789866447449
82,Gesture,0.5173180103302002
83,Drawing,0.7915089130401611
83,Line art,0.7330954670906067
83,Sketch,0.6995635032653809
83,Illustration,0.5765818953514099
83,Black-and-white,0.5640789866447449
84,Line art,0.7809068560600281
84,Drawing,0.7758903503417969
84,Eye,0.7586227655410767
84,Sketch,0.6791298389434814
84,Illustration,0.6402102112770081
84,Black-and-white,0.5640789866447449
85,Drawing,0.8401148915290833
85,Sketch,0.7605001926422119
85,Line art,0.7490581274032593
85,Illustration,0.6912711262702942
85,Hand,0.6600293517112732
85,Black-and-white,0.5640789866447449
85,Artwork,0.5229488015174866
85,Gesture,0.5173180103302002
86,Drawing,0.8027489185333252
86,Line art,0.7358167171478271
86,Sketch,0.7027392387390137
86,Illustration,0.6806615591049194
86,Plant,0.585474967956543
86,Black-and-white,0.5640789866447449
87,Hare,0.9207014441490173
87,Domestic rabbit,0.8990700244903564
87,Rabbit,0.8249280452728271
87,Drawing,0.8182293772697449
87,Snout,0.7840312123298645
87,Rabbits and Hares,0.718863844871521
87,Line art,0.7162227630615234
87,Sketch,0.7148675322532654
87,Illustration,0.6912711262702942
87,Black-and-white,0.6834213137626648
88,Drawing,0.7961740493774414
88,Line art,0.769069254398346
88,Snout,0.7342774271965027
88,Hare,0.7164334654808044
88,Black-and-white,0.6834213137626648
88,Illustration,0.6806615591049194
88,Sketch,0.6754698753356934
88,Rabbit,0.5648083686828613
88,Ear,0.5123199820518494
89,Drawing,0.8164358735084534
89,Line art,0.7809068560600281
89,Illustration,0.7316700220108032
89,Sketch,0.7119176983833313
89,Black-and-white,0.6834213137626648
89,Hare,0.6399408578872681
89,Gesture,0.5173180103302002
90,Line art,0.8540809750556946
90,Hare,0.837934672832489
90,Drawing,0.8164358735084534
90,Rabbit,0.8022900819778442
90,Domestic rabbit,0.7694956660270691
90,Black-and-white,0.7436744570732117
90,Snout,0.7342774271965027
90,Illustration,0.7095673680305481
90,Sketch,0.7058554887771606
90,Rabbits and Hares,0.6507852673530579
91,Hare,0.9061206579208374
91,Line art,0.8813744187355042
91,Rabbit,0.8717197179794312
91,Drawing,0.8692909479141235
91,Domestic rabbit,0.8227695822715759
91,Sketch,0.7888275384902954
91,Snout,0.7840312123298645
91,Black-and-white,0.7811979055404663
91,Illustration,0.7639288306236267
91,Rabbits and Hares,0.7571075558662415
92,Hare,0.918144702911377
92,Domestic rabbit,0.8936314582824707
92,Drawing,0.8906058669090271
92,Rabbit,0.8892686367034912
92,Line art,0.8393826484680176
92,Black-and-white,0.8265277147293091
92,Sketch,0.8223191499710083
92,Snout,0.8091163635253906
92,Rabbits and Hares,0.8089937567710876
92,Illustration,0.7762597799301147
93,Drawing,0.828284502029419
93,Eye,0.7586227655410767
93,Black-and-white,0.7436744570732117
93,Line art,0.7330954670906067
93,Illustration,0.7316700220108032
93,Sketch,0.7089143395423889
93,Hare,0.665086567401886
93,Domestic rabbit,0.5948631763458252
93,Rabbit,0.5839642882347107
93,Monochrome,0.5442906022071838
94,Drawing,0.8576133251190186
94,Eye,0.7586227655410767
94,Sketch,0.7417742013931274
94,Line art,0.7162227630615234
94,Black-and-white,0.6834213137626648
94,Illustration,0.6688148975372314
94,Ear,0.5822066068649292
94,Hare,0.5610336661338806
95,Drawing,0.8692909479141235
95,Eye,0.7586227655410767
95,Sketch,0.7514069080352783
